,review_count,review_year,hotel
0,0,2005,foxtrot
0,1,2005,alpha
1,0,2006,foxtrot
1,3,2006,alpha
2,0,2007,foxtrot
2,4,2007,alpha
3,0,2008,foxtrot
3,6,2008,alpha
4,1,2008,foxtrot
5,33,2009,alpha
6,10,2009,foxtrot
8,18,2010,foxtrot
7,17,2010,alpha
9,45,2011,alpha
10,20,2011,foxtrot
11,74,2012,alpha
12,51,2012,foxtrot
13,63,2013,alpha
14,188,2013,foxtrot
15,75,2014,alpha
16,267,2014,foxtrot
17,75,2015,alpha
18,267,2015,foxtrot
19,91,2016,alpha
20,195,2016,foxtrot
