Review_year,hotel,Review_month
2005,alpha,1
2006,alpha,3
2007,alpha,4
2008,alpha,6
2008,foxtrot,1
2009,alpha,33
2009,foxtrot,10
2010,alpha,17
2010,foxtrot,18
2011,alpha,45
2011,foxtrot,20
2012,alpha,74
2012,foxtrot,51
2013,alpha,63
2013,foxtrot,188
2014,alpha,75
2014,foxtrot,267
2015,alpha,75
2015,foxtrot,267
2016,alpha,91
2016,foxtrot,195
2017,alpha,1
2017,foxtrot,2
