,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,country_total,hotel,lat,long
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,-3.74922,40.463667
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,a,18.643501,60.128161
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,a,8.227512,46.818188
Thailand,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,a,100.992541,15.870032
U.S. Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,a,-64.896335,18.335765
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,a,53.847818,23.424076
United Kingdom,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,4.0,4.0,23.0,a,-3.435973,55.378051
United States,2.0,2.0,4.0,5.0,0.0,13.0,15.0,7.0,7.0,8.0,11.0,74.0,a,-95.712891,37.09024
Angola,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,17.873887,-11.202692
Argentina,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,b,-63.616672,-38.416097
Australia,0,0,0.0,0.0,2.0,0.0,4.0,8.0,24.0,23.0,13.0,74.0,b,133.775136,-25.274398
Bahrain,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,50.5577,26.0667
Belarus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,27.953389,53.709807
Belgium,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,b,4.469936,50.503887
Brazil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,b,-51.92528,-14.235004
Cambodia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,104.990963,12.565679
Canada,0,0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,8.0,3.0,23.0,b,-106.346771,56.130366
China,0,0,1.0,0.0,2.0,4.0,10.0,34.0,42.0,27.0,20.0,140.0,b,104.195397,35.86166
Czechia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,15.472962,49.817492
Denmark,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,b,9.501785,56.26392
Egypt,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,b,30.802498,26.820553
Finland,0,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,b,25.748151,61.92411
France,0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,b,2.213749,46.227638
Germany,0,0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,16.0,b,10.451526,51.165691
Greece,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,b,21.824312,39.074208
Guernsey,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,-2.585278,49.465691
Hong Kong,0,0,0.0,1.0,0.0,1.0,1.0,7.0,8.0,13.0,12.0,43.0,b,114.109497,22.396428
Hungary,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,19.503304,47.162494
India,0,0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,6.0,6.0,27.0,b,78.96288,20.593684
Indonesia,0,0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,6.0,19.0,b,113.921327,-0.789275
Iran,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,53.688046,32.427908
Ireland,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,b,-7.6920536,53.1423672
Israel,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,b,34.851612,31.046051
Italy,0,0,0.0,0.0,1.0,0.0,5.0,11.0,20.0,38.0,34.0,109.0,b,12.56738,41.87194
Japan,0,0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,9.0,b,138.252924,36.204824
Kazakhstan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,66.923684,48.019573
Kenya,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,37.906193,-0.023559
Kuwait,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,47.481766,29.31166
Lebanon,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,35.862285,33.854721
Lithuania,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,b,23.881275,55.169438
Malaysia,0,0,0.0,0.0,0.0,3.0,1.0,8.0,6.0,2.0,5.0,25.0,b,101.975766,4.210484
Mauritius,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,57.552152,-20.348404
Mexico,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,-102.552784,23.634501
Nepal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,b,84.124008,28.394857
Netherlands,0,0,0.0,0.0,1.0,0.0,2.0,4.0,11.0,2.0,3.0,23.0,b,5.291266,52.132633
New Zealand,0,0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,12.0,b,174.885971,-40.900557
Norway,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,b,8.468946,60.472024
Pakistan,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,b,69.345116,30.375321
Philippines,0,0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,4.0,13.0,b,121.774017,12.879721
Poland,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,b,19.145136,51.919438
Portugal,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,b,-8.224454,39.399872
Qatar,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,b,51.183884,25.354826
Russia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,b,105.318756,61.52401
Saudi Arabia,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,b,45.079162,23.885942
Singapore,0,0,0.0,2.0,3.0,3.0,5.0,22.0,18.0,27.0,15.0,95.0,b,103.819836,1.352083
South Africa,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,b,22.937506,-30.559482
South Korea,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,b,127.766922,35.907757
Spain,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,b,-3.74922,40.463667
Sweden,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,b,18.643501,60.128161
Switzerland,0,0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,8.0,b,8.227512,46.818188
Taiwan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,b,120.960515,23.69781
Thailand,0,0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,b,100.992541,15.870032
United Arab Emirates,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,b,53.847818,23.424076
United Kingdom,0,0,0.0,0.0,1.0,1.0,0.0,9.0,26.0,20.0,12.0,69.0,b,-3.435973,55.378051
United States,0,0,0.0,3.0,4.0,2.0,8.0,32.0,39.0,40.0,25.0,153.0,b,-95.712891,37.09024
